Epoch,Accuracy
1,0.837
2,0.7581
3,0.7263999999999999
4,0.7024
5,0.6661
6,0.6154999999999999
7,0.5178
8,0.4214
9,0.3598
10,0.31579999999999997
11,0.27569999999999995
12,0.2369
13,0.2046
14,0.17320000000000002
15,0.1512
16,0.13319999999999999
17,0.1189
18,0.11060000000000003
19,0.10260000000000002
20,0.09360000000000002
21,0.09040000000000004
22,0.08499999999999996
23,0.07889999999999997
24,0.07609999999999995
25,0.07340000000000002
26,0.0686
