Epoch,Accuracy
1,0.3333333333333333
2,0.3333333333333333
3,0.3333333333333333
4,0.3333333333333333
5,0.3333333333333333
6,0.3333333333333333
7,0.3333333333333333
8,0.3333333333333333
9,0.3333333333333333
10,0.3333333333333333
11,0.3333333333333333
12,0.3333333333333333
13,0.3333333333333333
14,0.3333333333333333
15,0.3333333333333333
16,0.3333333333333333
17,0.3333333333333333
18,0.3333333333333333
19,0.3333333333333333
20,0.3333333333333333
21,0.3333333333333333
22,0.3333333333333333
23,0.3933333333333333
24,0.6266666666666667
25,0.6666666666666666
26,0.6666666666666666
27,0.6666666666666666
28,0.6666666666666666
29,0.6666666666666666
30,0.6666666666666666
31,0.6666666666666666
32,0.6733333333333333
33,0.68
34,0.68
35,0.68
36,0.68
37,0.68
38,0.68
39,0.6866666666666666
40,0.6933333333333334
41,0.7
42,0.7133333333333334
43,0.72
44,0.7333333333333333
45,0.7533333333333333
46,0.76
47,0.76
48,0.76
49,0.7733333333333333
50,0.7866666666666666
51,0.7866666666666666
52,0.7933333333333333
53,0.7933333333333333
54,0.7933333333333333
55,0.8
56,0.8
57,0.8133333333333334
58,0.8133333333333334
59,0.82
60,0.82
61,0.8266666666666667
62,0.8333333333333334
63,0.8333333333333334
64,0.8466666666666667
65,0.8466666666666667
66,0.8533333333333334
67,0.8533333333333334
68,0.86
69,0.86
70,0.8666666666666667
71,0.8666666666666667
72,0.8666666666666667
73,0.8666666666666667
74,0.8733333333333333
75,0.8733333333333333
76,0.8733333333333333
77,0.8733333333333333
78,0.8733333333333333
79,0.8733333333333333
80,0.8733333333333333
81,0.8733333333333333
82,0.88
83,0.88
84,0.88
85,0.88
86,0.88
87,0.88
88,0.88
89,0.8866666666666667
90,0.8866666666666667
91,0.8866666666666667
92,0.8866666666666667
93,0.8933333333333333
94,0.9
95,0.9066666666666666
96,0.9066666666666666
97,0.9066666666666666
98,0.9133333333333333
99,0.9133333333333333
100,0.9133333333333333
